,mean_abs_shap
Revenue,0.0021400505934090217
Accounts Receivable,0.0013485050822432854
Days Sales Outstanding (DSO),0.0013346438678904682
Inventory,0.0010985177928741902
Accounts Payable Days (AP Days),0.001060784487135966
Inventory Turnover (times),0.0009446466182879405
Current Ratio,0.0009277051340789418
Operating Margin,0.000603477493540881
ΔAR (t) / Revenue,0.0003899972496025277
ΔInventory (t) / COGS,0.00032730791039424257
Accounts Payable,0.0002884906625713646
Operating Income (EBIT),0.0002861804601792284
ΔAP (t) / COGS,0.0001608017817626582
