,mean_abs_shap
Current Ratio,0.0025832057840159267
Accounts Payable Days (AP Days),0.0012225288427725701
Operating Margin,0.0010181484690650416
Revenue,0.0007983003139954691
Inventory,0.0006785920030959427
Accounts Receivable,0.0004964916379059831
ΔAR (t) / Revenue,0.0003677804869050995
ΔInventory (t) / COGS,0.00031430445124231446
Days Sales Outstanding (DSO),0.00029228490714587347
Inventory Turnover (times),0.000229371924013185
Operating Income (EBIT),0.00016951776856342189
Accounts Payable,0.00011324336963883916
ΔAP (t) / COGS,7.243675207630093e-05
