,,,,,,,,,,,,,,,,
Procter & Gamble Co/The (PG US) - Standardized,,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024,FY 2025
12 Months Ending,,06/30/2011,06/30/2012,06/30/2013,06/30/2014,06/30/2015,06/30/2016,06/30/2017,06/30/2018,06/30/2019,06/30/2020,06/30/2021,06/30/2022,06/30/2023,06/30/2024,06/30/2025
Total Assets,,,,,,,,,,,,,,,,
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,"2,768.0","4,436.0","5,947.0","10,686.0","11,603.0","13,348.0","15,137.0","11,850.0","10,287.0","16,181.0","10,288.0","7,214.0","8,246.0","9,482.0","9,556.0"
"    + Cash & Cash Equivalents",BS_CASH_NEAR_CASH_ITEM,"2,768.0","4,436.0","5,947.0","8,558.0","6,836.0","7,102.0","5,569.0","2,569.0","4,239.0","16,181.0","10,288.0","7,214.0","8,246.0","9,482.0","9,556.0"
"    + ST Investments",BS_MKT_SEC_OTHER_ST_INVEST,0.0,0.0,0.0,"2,128.0","4,767.0","6,246.0","9,568.0","9,281.0","6,048.0",0.0,0.0,0.0,0.0,0.0,0.0
"  + Accounts & Notes Receiv",BS_ACCT_NOTE_RCV,"6,275.0","6,068.0","6,508.0","6,386.0","4,568.0","4,373.0","4,594.0","4,686.0","4,951.0","4,178.0","4,725.0","5,143.0","5,471.0","6,118.0","6,185.0"
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,"6,275.0","6,068.0","6,508.0","6,386.0","4,568.0","4,373.0","4,594.0","4,686.0","4,951.0","4,178.0","4,725.0","5,143.0","5,471.0","6,118.0","6,185.0"
"    + Notes Receivable, Net",NOTES_RECEIVABLE,0.0,�,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"  + Inventories",BS_INVENTORIES,"7,379.0","6,721.0","6,909.0","6,759.0","4,979.0","4,716.0","4,624.0","4,738.0","5,017.0","5,498.0","5,983.0","6,924.0","7,073.0","7,016.0","7,551.0"
"    + Raw Materials",INVTRY_RAW_MATERIALS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
